الجزر,16
ويذوي,2
مهرجان,26
طيب,125
زهر,70
القمرقل,1
تامل,21
دنياه,24
حينا,130
فعاد,27
يحضن,12
دمعه,16
راعه,7
عمره,51
يتلاشي,19
تخمد,5
الاعاصير,15
شمعة,33
وصباه,1
يضيع,26
ضاع,61
نداء,42
تطوي,55
المتاهات,8
رجعه,3
يفيق,19
وتغفو,4
سنينه,5
لوعه,2
سكب,10
الدهر,498
اساه,5
رحيقا,12
فتحساه,1
جرعة,19
جرعه,5
يهيم,26
واخشي,11
تواريه,1
رحلة,59
بيني,81
وبينك,28
واش,13
ينعب,2
فعلام,15
اسهب,2
الغناء,55
واطنب,1
صوتي,113
تحس,28
برجعه,1
ولقد,157
عهدتك,6
انشد,24
تطرب,8
واراك,13
الجموع,32
فلا,752
اري,452
البشاشة,9
الملامح,17
تعشب,2
وتمر,7
عينك,26
وتهرع,1
مثلما,170
الغريب,106
مروعا,4
يتوثب,3
يكذب,13
وتظل,21
تسمعه,10
ولست,106
تكذب,9
خدعوا,2
فاعجبك,1
الخداع,16
تكن,187
بالزيف,5
المعطر,11
تعجب,11
القلوب,242
خزاءنا,1
لمشاعر,2
تزل,168
تقلب,21
لوشاة,3
ارفع,35
رايتي,5
البيضاء,68
فاسعوا,1
اديمي,5
واضربوا,2
المعارك,16
لست,338
احسن,43
خوضها,1
يحارب,7
والغريم,1
الثعلب,4
المناضل,6
والسلاح,3
دسيسة,3
المكافح,1
والعدو,3
العقرب,8
تابي,35
الرجولة,9
تدنس,2
سيفها,6
يغلب,14
المقدام,10
ساعة,146
تحتضن,8
القفار,14
رواحلي,2
والحر,8
يري,276
الملالة,1
والقفر,2
اكرم,72
يغيض,7
عطاءه,6
ويصغي,6
فينضب,1
اصدق,25
خليل,25
وده,10
متغير,2
متلون,1
متذبذب,1
ساصب,1
سمع,32
الرياح,157
قصاءدي,39
ارتجي,11
غنما,5
اتكسب,1
واصوغ,5
شفة,57
السراب,62
ملاحمي,1
الكرامة,38
